sample,parent_id,unresolved,status
historical,historical__210178966,FALSE,Supported by available parcel and filing checks
historical,historical__210179215,FALSE,Supported by available parcel and filing checks
historical,historical__210179242,TRUE,Source or reference-date disagreement
historical,historical__210179279,FALSE,Supported by available parcel and filing checks
historical,historical__210179493,FALSE,Supported by available parcel and filing checks
historical,historical__210179518,FALSE,Supported by available parcel and filing checks
historical,historical__210179616,FALSE,Supported by available parcel and filing checks
historical,historical__210179634,FALSE,Supported by available parcel and filing checks
historical,historical__210179705,FALSE,Supported by available parcel and filing checks
historical,historical__210179732,FALSE,Supported by available parcel and filing checks
historical,historical__210179803,FALSE,Supported by available parcel and filing checks
historical,historical__210179821,FALSE,Supported by available parcel and filing checks
historical,historical__210179830,FALSE,Supported by available parcel and filing checks
historical,historical__210179965,FALSE,Supported by available parcel and filing checks
historical,historical__210179974,FALSE,Supported by available parcel and filing checks
historical,historical__210179983,FALSE,Supported by available parcel and filing checks
historical,historical__210180105,TRUE,Shared earlier land or other filing
historical,historical__210180178,TRUE,Partial earlier parcels require allocation
historical,historical__210180221,FALSE,Supported by available parcel and filing checks
historical,historical__210180258,FALSE,Supported by available parcel and filing checks
historical,historical__210180294,FALSE,Supported by available parcel and filing checks
historical,historical__210180356,FALSE,Supported by available parcel and filing checks
historical,historical__210180365,FALSE,Supported by available parcel and filing checks
historical,historical__210180533,FALSE,Supported by available parcel and filing checks
historical,historical__210180604,TRUE,Partial earlier parcels require allocation
historical,historical__210180819,FALSE,Supported by available parcel and filing checks
historical,historical__210180864,FALSE,Supported by available parcel and filing checks
historical,historical__210180891,FALSE,Supported by available parcel and filing checks
historical,historical__210181060,FALSE,Supported by available parcel and filing checks
historical,historical__210181079,FALSE,Supported by available parcel and filing checks
historical,historical__210181131,FALSE,Supported by available parcel and filing checks
historical,historical__210181202,FALSE,Supported by available parcel and filing checks
historical,historical__210181248,FALSE,Supported by available parcel and filing checks
historical,historical__210181337,FALSE,Supported by available parcel and filing checks
historical,historical__210181373,FALSE,Supported by available parcel and filing checks
historical,historical__210181382,TRUE,Shared earlier land or other filing
historical,historical__210181747,FALSE,Supported by available parcel and filing checks
historical,historical__210181925,FALSE,Supported by available parcel and filing checks
historical,historical__210182041,FALSE,Supported by available parcel and filing checks
historical,historical__210182069,FALSE,Supported by available parcel and filing checks
historical,historical__210182112,FALSE,Supported by available parcel and filing checks
historical,historical__210182283,FALSE,Supported by available parcel and filing checks
historical,historical__210182372,FALSE,Supported by available parcel and filing checks
historical,historical__210182407,FALSE,Supported by available parcel and filing checks
historical,historical__220212543,FALSE,Supported by available parcel and filing checks
historical,historical__220212918,FALSE,Supported by available parcel and filing checks
historical,historical__220517698,FALSE,Supported by available parcel and filing checks
historical,historical__220671075,FALSE,Supported by available parcel and filing checks
historical,historical__220689048,FALSE,Supported by available parcel and filing checks
historical,historical__220689921,TRUE,Shared earlier land or other filing
historical,historical__220693961,FALSE,Supported by available parcel and filing checks
historical,historical__220694602,FALSE,Supported by available parcel and filing checks
historical,historical__220694700,TRUE,Partial earlier parcels require allocation
historical,historical__220694719,FALSE,Supported by available parcel and filing checks
historical,historical__220696432,FALSE,Supported by available parcel and filing checks
historical,historical__220696717,FALSE,Supported by available parcel and filing checks
historical,historical__220696851,TRUE,Shared earlier land or other filing
historical,historical__220700873,FALSE,Supported by available parcel and filing checks
historical,historical__220704744,FALSE,Supported by available parcel and filing checks
historical,historical__220704753,FALSE,Supported by available parcel and filing checks
historical,historical__220706369,FALSE,Supported by available parcel and filing checks
historical,historical__220707929,FALSE,Supported by available parcel and filing checks
historical,historical__220708241,FALSE,Supported by available parcel and filing checks
historical,historical__220708401,FALSE,Supported by available parcel and filing checks
historical,historical__220708848,FALSE,Supported by available parcel and filing checks
historical,historical__220716964,FALSE,Supported by available parcel and filing checks
historical,historical__220723732,FALSE,Supported by available parcel and filing checks
historical,historical__220723741,TRUE,Shared earlier land or other filing
historical,historical__220727462,FALSE,Supported by available parcel and filing checks
historical,historical__220728096,FALSE,Supported by available parcel and filing checks
historical,historical__220732946,FALSE,Supported by available parcel and filing checks
historical,historical__240274528,FALSE,Supported by available parcel and filing checks
historical,historical__240275796,FALSE,Supported by available parcel and filing checks
historical,historical__240278828,FALSE,Supported by available parcel and filing checks
historical,historical__240284553,FALSE,Supported by available parcel and filing checks
historical,historical__240285865,FALSE,Supported by available parcel and filing checks
historical,historical__240288755,FALSE,Supported by available parcel and filing checks
historical,historical__240293339,FALSE,Supported by available parcel and filing checks
historical,historical__240294686,FALSE,Supported by available parcel and filing checks
historical,historical__240296657,FALSE,Supported by available parcel and filing checks
historical,historical__240298968,FALSE,Supported by available parcel and filing checks
historical,historical__240301017,FALSE,Supported by available parcel and filing checks
historical,historical__240301552,FALSE,Supported by available parcel and filing checks
historical,historical__240301721,FALSE,Supported by available parcel and filing checks
historical,historical__240301794,FALSE,Supported by available parcel and filing checks
historical,historical__321385611,FALSE,Supported by available parcel and filing checks
historical,historical__321385844,FALSE,Supported by available parcel and filing checks
historical,historical__321385862,FALSE,Supported by available parcel and filing checks
historical,historical__321385880,FALSE,Supported by available parcel and filing checks
historical,historical__321386059,FALSE,Supported by available parcel and filing checks
historical,historical__321386077,TRUE,Partial earlier parcels require allocation
historical,historical__321387021,FALSE,Supported by available parcel and filing checks
historical,historical__321387263,FALSE,Supported by available parcel and filing checks
historical,historical__321387290,TRUE,Partial earlier parcels require allocation
historical,historical__321387352,FALSE,Supported by available parcel and filing checks
historical,historical__321387450,FALSE,Supported by available parcel and filing checks
historical,historical__321387478,TRUE,Shared earlier land or other filing
historical,historical__321387575,FALSE,Supported by available parcel and filing checks
historical,historical__321387913,TRUE,Partial earlier parcels require allocation
historical,historical__321570769,FALSE,Supported by available parcel and filing checks
historical,historical__321588705,FALSE,Supported by available parcel and filing checks
historical,historical__321588714,FALSE,Supported by available parcel and filing checks
historical,historical__321589125,FALSE,Supported by available parcel and filing checks
historical,historical__321589134,FALSE,Supported by available parcel and filing checks
historical,historical__321589704,FALSE,Supported by available parcel and filing checks
historical,historical__321589713,FALSE,Supported by available parcel and filing checks
historical,historical__321589722,FALSE,Supported by available parcel and filing checks
historical,historical__321589884,FALSE,Supported by available parcel and filing checks
historical,historical__321590113,FALSE,Supported by available parcel and filing checks
historical,historical__321590293,TRUE,Shared earlier land or other filing
historical,historical__321590328,FALSE,Supported by available parcel and filing checks
historical,historical__321590346,TRUE,Partial earlier parcels require allocation
historical,historical__321590382,FALSE,Supported by available parcel and filing checks
historical,historical__321590532,TRUE,Partial earlier parcels require allocation
historical,historical__321592157,FALSE,Supported by available parcel and filing checks
historical,historical__321592200,TRUE,Filing lot list differs from mapped site
historical,historical__321592308,FALSE,Supported by available parcel and filing checks
historical,historical__321592344,FALSE,Supported by available parcel and filing checks
historical,historical__321592576,FALSE,Supported by available parcel and filing checks
historical,historical__321592709,TRUE,Partial earlier parcels require allocation
historical,historical__321592718,FALSE,Supported by available parcel and filing checks
historical,historical__321592763,FALSE,Supported by available parcel and filing checks
historical,historical__321592790,FALSE,Supported by available parcel and filing checks
historical,historical__321592825,TRUE,Shared earlier land or other filing
historical,historical__321593101,FALSE,Supported by available parcel and filing checks
historical,historical__321593986,FALSE,Supported by available parcel and filing checks
historical,historical__321594137,FALSE,Supported by available parcel and filing checks
historical,historical__321594155,TRUE,Other filing in transaction envelope
historical,historical__321594226,FALSE,Supported by available parcel and filing checks
historical,historical__321594422,TRUE,Partial earlier parcels require allocation
historical,historical__321594672,FALSE,Supported by available parcel and filing checks
historical,historical__321594832,FALSE,Supported by available parcel and filing checks
historical,historical__321595083,FALSE,Supported by available parcel and filing checks
historical,historical__321595092,FALSE,Supported by available parcel and filing checks
historical,historical__321595145,FALSE,Supported by available parcel and filing checks
historical,historical__321595403,FALSE,Supported by available parcel and filing checks
historical,historical__321595608,FALSE,Supported by available parcel and filing checks
historical,historical__321595653,FALSE,Supported by available parcel and filing checks
historical,historical__321595733,TRUE,Partial earlier parcels require allocation
historical,historical__321595751,FALSE,Supported by available parcel and filing checks
historical,historical__321595797,FALSE,Supported by available parcel and filing checks
historical,historical__321596484,FALSE,Supported by available parcel and filing checks
historical,historical__321596536,FALSE,Supported by available parcel and filing checks
historical,historical__321596625,FALSE,Supported by available parcel and filing checks
historical,historical__321597009,FALSE,Supported by available parcel and filing checks
historical,historical__321597606,FALSE,Supported by available parcel and filing checks
historical,historical__321597688,FALSE,Supported by available parcel and filing checks
historical,historical__321597777,FALSE,Supported by available parcel and filing checks
historical,historical__321597795,FALSE,Supported by available parcel and filing checks
historical,historical__321598008,FALSE,Supported by available parcel and filing checks
historical,historical__321598277,FALSE,Supported by available parcel and filing checks
historical,historical__321598348,FALSE,Supported by available parcel and filing checks
historical,historical__321598400,TRUE,Partial earlier parcels require allocation
historical,historical__321598883,TRUE,Partial earlier parcels require allocation
historical,historical__321599105,FALSE,Supported by available parcel and filing checks
historical,historical__321599132,FALSE,Supported by available parcel and filing checks
historical,historical__321599141,FALSE,Supported by available parcel and filing checks
historical,historical__321599150,FALSE,Supported by available parcel and filing checks
historical,historical__321599212,FALSE,Supported by available parcel and filing checks
historical,historical__321600139,FALSE,Supported by available parcel and filing checks
historical,historical__321600362,TRUE,Shared earlier land or other filing
historical,historical__321600380,TRUE,Shared earlier land or other filing
historical,historical__321600530,TRUE,Shared earlier land or other filing
historical,historical__321601012,FALSE,Supported by available parcel and filing checks
historical,historical__321923549,FALSE,Supported by available parcel and filing checks
historical,historical__321929776,FALSE,Supported by available parcel and filing checks
historical,historical__321939676,FALSE,Supported by available parcel and filing checks
historical,historical__321941182,FALSE,Supported by available parcel and filing checks
historical,historical__321954364,TRUE,Partial earlier parcels require allocation
historical,historical__321992475,FALSE,Supported by available parcel and filing checks
historical,historical__322002818,FALSE,Supported by available parcel and filing checks
historical,historical__322085417,FALSE,Supported by available parcel and filing checks
historical,historical__340751813,FALSE,Supported by available parcel and filing checks
historical,historical__340752714,FALSE,Supported by available parcel and filing checks
historical,historical__340765602,FALSE,Supported by available parcel and filing checks
historical,historical__340769332,FALSE,Supported by available parcel and filing checks
historical,historical__340797141,FALSE,Supported by available parcel and filing checks
historical,historical__340802073,FALSE,Supported by available parcel and filing checks
historical,historical__420665499,FALSE,Supported by available parcel and filing checks
historical,historical__420665541,FALSE,Supported by available parcel and filing checks
historical,historical__420665667,FALSE,Supported by available parcel and filing checks
historical,historical__420665845,FALSE,Supported by available parcel and filing checks
historical,historical__420666014,FALSE,Supported by available parcel and filing checks
historical,historical__420666032,FALSE,Supported by available parcel and filing checks
historical,historical__420666087,FALSE,Supported by available parcel and filing checks
historical,historical__420666176,TRUE,Shared earlier land or other filing
historical,historical__420666210,TRUE,Shared earlier land or other filing
historical,historical__420666283,TRUE,Partial earlier parcels require allocation
historical,historical__420666773,FALSE,Supported by available parcel and filing checks
historical,historical__420667004,FALSE,Supported by available parcel and filing checks
historical,historical__420667068,FALSE,Supported by available parcel and filing checks
historical,historical__420667120,TRUE,Shared earlier land or other filing
historical,historical__420667264,FALSE,Supported by available parcel and filing checks
historical,historical__420667488,TRUE,Shared earlier land or other filing
historical,historical__421133026,FALSE,Supported by available parcel and filing checks
historical,historical__421133115,FALSE,Supported by available parcel and filing checks
historical,historical__421133151,FALSE,Supported by available parcel and filing checks
historical,historical__421133160,TRUE,Incomplete earlier map or area
historical,historical__421133179,TRUE,Incomplete earlier map or area
historical,historical__421133213,FALSE,Supported by available parcel and filing checks
historical,historical__421133222,FALSE,Supported by available parcel and filing checks
historical,historical__421133302,TRUE,Shared earlier land or other filing
historical,historical__421133320,FALSE,Supported by available parcel and filing checks
historical,historical__421133419,FALSE,Supported by available parcel and filing checks
historical,historical__421133464,FALSE,Supported by available parcel and filing checks
historical,historical__421133623,FALSE,Supported by available parcel and filing checks
historical,historical__421133632,FALSE,Supported by available parcel and filing checks
historical,historical__421133794,FALSE,Supported by available parcel and filing checks
historical,historical__421133865,FALSE,Supported by available parcel and filing checks
historical,historical__421133883,FALSE,Supported by available parcel and filing checks
historical,historical__421133972,FALSE,Supported by available parcel and filing checks
historical,historical__421134132,FALSE,Supported by available parcel and filing checks
historical,historical__421134178,TRUE,Shared earlier land or other filing
historical,historical__421134187,TRUE,Shared earlier land or other filing
historical,historical__421694857,FALSE,Supported by available parcel and filing checks
historical,historical__421728973,FALSE,Supported by available parcel and filing checks
historical,historical__421861845,FALSE,Supported by available parcel and filing checks
historical,historical__421928953,FALSE,Supported by available parcel and filing checks
historical,historical__440597481,FALSE,Supported by available parcel and filing checks
historical,historical__440639203,FALSE,Supported by available parcel and filing checks
historical,historical__510113654,FALSE,Supported by available parcel and filing checks
historical,historical__510115670,TRUE,Partial earlier parcels require allocation
historical,historical__B00509455,TRUE,Shared earlier land or other filing
historical,historical__B00520132,FALSE,Supported by available parcel and filing checks
historical,historical__B00529604,FALSE,Supported by available parcel and filing checks
historical,historical__B00539478,FALSE,Supported by available parcel and filing checks
historical,historical__B00560232,FALSE,Supported by available parcel and filing checks
historical,historical__B00560420,TRUE,Partial earlier parcels require allocation
historical,historical__B00561184,FALSE,Supported by available parcel and filing checks
historical,historical__B00564411,FALSE,Supported by available parcel and filing checks
historical,historical__B00565465,FALSE,Supported by available parcel and filing checks
historical,historical__B00568816,FALSE,Supported by available parcel and filing checks
historical,historical__B00571785,FALSE,Supported by available parcel and filing checks
historical,historical__B00577160,FALSE,Supported by available parcel and filing checks
historical,historical__B00580365,FALSE,Supported by available parcel and filing checks
historical,historical__B00587387,TRUE,Partial earlier parcels require allocation
historical,historical__B00588575,TRUE,Shared earlier land or other filing
historical,historical__B00588594,TRUE,Incomplete earlier map or area
historical,historical__B00591118,FALSE,Supported by available parcel and filing checks
historical,historical__B00591681,FALSE,Supported by available parcel and filing checks
historical,historical__B00593338,FALSE,Supported by available parcel and filing checks
historical,historical__B00594970,FALSE,Supported by available parcel and filing checks
historical,historical__B00600120,FALSE,Supported by available parcel and filing checks
historical,historical__B00600959,TRUE,Shared earlier land or other filing
historical,historical__B00601179,TRUE,Partial earlier parcels require allocation
historical,historical__B00604543,FALSE,Supported by available parcel and filing checks
historical,historical__B00606335,FALSE,Supported by available parcel and filing checks
historical,historical__B00608472,TRUE,Source or reference-date disagreement
historical,historical__B00610324,FALSE,Supported by available parcel and filing checks
historical,historical__B00611166,FALSE,Supported by available parcel and filing checks
historical,historical__B00612352,FALSE,Supported by available parcel and filing checks
historical,historical__B00614012,FALSE,Supported by available parcel and filing checks
historical,historical__B00614338,FALSE,Supported by available parcel and filing checks
historical,historical__B00614702,FALSE,Supported by available parcel and filing checks
historical,historical__B00616358,FALSE,Supported by available parcel and filing checks
historical,historical__B00620031,FALSE,Supported by available parcel and filing checks
historical,historical__B00621061,FALSE,Supported by available parcel and filing checks
historical,historical__B00621076,FALSE,Supported by available parcel and filing checks
historical,historical__B00621504,FALSE,Supported by available parcel and filing checks
historical,historical__B00621533,TRUE,Partial earlier parcels require allocation
historical,historical__B00622668,FALSE,Supported by available parcel and filing checks
historical,historical__B00624645,FALSE,Supported by available parcel and filing checks
historical,historical__B00625252,FALSE,Supported by available parcel and filing checks
historical,historical__B00627782,FALSE,Supported by available parcel and filing checks
historical,historical__B00628878,FALSE,Supported by available parcel and filing checks
historical,historical__B00632806,FALSE,Supported by available parcel and filing checks
historical,historical__B00635730,FALSE,Supported by available parcel and filing checks
historical,historical__B00637594,FALSE,Supported by available parcel and filing checks
historical,historical__B00640248,FALSE,Supported by available parcel and filing checks
historical,historical__B00640761,FALSE,Supported by available parcel and filing checks
historical,historical__B00645411,FALSE,Supported by available parcel and filing checks
historical,historical__B00645685,TRUE,Partial earlier parcels require allocation
historical,historical__B00646589,FALSE,Supported by available parcel and filing checks
historical,historical__B00648034,FALSE,Supported by available parcel and filing checks
historical,historical__B00648659,FALSE,Supported by available parcel and filing checks
historical,historical__B00651570,FALSE,Supported by available parcel and filing checks
historical,historical__B00652243,FALSE,Supported by available parcel and filing checks
historical,historical__B00653212,TRUE,Partial earlier parcels require allocation
historical,historical__B00653276,FALSE,Supported by available parcel and filing checks
historical,historical__B00653960,FALSE,Supported by available parcel and filing checks
historical,historical__B00655003,FALSE,Supported by available parcel and filing checks
historical,historical__B00655818,FALSE,Supported by available parcel and filing checks
historical,historical__B00656247,TRUE,Partial earlier parcels require allocation
historical,historical__B00663906,FALSE,Supported by available parcel and filing checks
historical,historical__B00664091,FALSE,Supported by available parcel and filing checks
historical,historical__B00664860,FALSE,Supported by available parcel and filing checks
historical,historical__B00665500,TRUE,Shared earlier land or other filing
historical,historical__B00665570,TRUE,Shared earlier land or other filing
historical,historical__B00668047,FALSE,Supported by available parcel and filing checks
historical,historical__B00668695,FALSE,Supported by available parcel and filing checks
historical,historical__B00670629,FALSE,Supported by available parcel and filing checks
historical,historical__B00672674,FALSE,Supported by available parcel and filing checks
historical,historical__B00673634,FALSE,Supported by available parcel and filing checks
historical,historical__B00673635,FALSE,Supported by available parcel and filing checks
historical,historical__B00678425,FALSE,Supported by available parcel and filing checks
historical,historical__B00680247,FALSE,Supported by available parcel and filing checks
historical,historical__B00680413,FALSE,Supported by available parcel and filing checks
historical,historical__B00680820,TRUE,Shared earlier land or other filing
historical,historical__B00680917,FALSE,Supported by available parcel and filing checks
historical,historical__B00681143,FALSE,Supported by available parcel and filing checks
historical,historical__B00683623,FALSE,Supported by available parcel and filing checks
historical,historical__B00684074,FALSE,Supported by available parcel and filing checks
historical,historical__B00684789,FALSE,Supported by available parcel and filing checks
historical,historical__B00692002,FALSE,Supported by available parcel and filing checks
historical,historical__B00692303,FALSE,Supported by available parcel and filing checks
historical,historical__B00693828,FALSE,Supported by available parcel and filing checks
historical,historical__B00696389,TRUE,Partial earlier parcels require allocation
historical,historical__B00698115,FALSE,Supported by available parcel and filing checks
historical,historical__B00699404,FALSE,Supported by available parcel and filing checks
historical,historical__B00700725,FALSE,Supported by available parcel and filing checks
historical,historical__B00702705,FALSE,Supported by available parcel and filing checks
historical,historical__B00706931,FALSE,Supported by available parcel and filing checks
historical,historical__B00709512,FALSE,Supported by available parcel and filing checks
historical,historical__B00712795,FALSE,Supported by available parcel and filing checks
historical,historical__B00715375,FALSE,Supported by available parcel and filing checks
historical,historical__B00727869,FALSE,Supported by available parcel and filing checks
historical,historical__B00734382,FALSE,Supported by available parcel and filing checks
historical,historical__B00736115,FALSE,Supported by available parcel and filing checks
historical,historical__B00738723,FALSE,Supported by available parcel and filing checks
historical,historical__B00740310,FALSE,Supported by available parcel and filing checks
historical,historical__B00754062,FALSE,Supported by available parcel and filing checks
historical,historical__B00755555,FALSE,Supported by available parcel and filing checks
historical,historical__B00757866,FALSE,Supported by available parcel and filing checks
historical,historical__B00781447,TRUE,Shared earlier land or other filing
historical,historical__B00789072,TRUE,Partial earlier parcels require allocation
historical,historical__B00789554,FALSE,Supported by available parcel and filing checks
historical,historical__B08015349,FALSE,Supported by available parcel and filing checks
historical,historical__B08021996,TRUE,Partial earlier parcels require allocation
historical,historical__M00499952,FALSE,Supported by available parcel and filing checks
historical,historical__M00522293,FALSE,Supported by available parcel and filing checks
historical,historical__M00537657,FALSE,Supported by available parcel and filing checks
historical,historical__M00542354,FALSE,Supported by available parcel and filing checks
historical,historical__M00547165,FALSE,Supported by available parcel and filing checks
historical,historical__M00558120,FALSE,Supported by available parcel and filing checks
historical,historical__M00574359,FALSE,Supported by available parcel and filing checks
historical,historical__M00578593,FALSE,Supported by available parcel and filing checks
historical,historical__M00580473,FALSE,Supported by available parcel and filing checks
historical,historical__M00599489,FALSE,Supported by available parcel and filing checks
historical,historical__M00600672,FALSE,Supported by available parcel and filing checks
historical,historical__M00611352,FALSE,Supported by available parcel and filing checks
historical,historical__M00614697,FALSE,Supported by available parcel and filing checks
historical,historical__M00625489,FALSE,Supported by available parcel and filing checks
historical,historical__M00628716,FALSE,Supported by available parcel and filing checks
historical,historical__M00628781,FALSE,Supported by available parcel and filing checks
historical,historical__M00629412,FALSE,Supported by available parcel and filing checks
historical,historical__M00630979,FALSE,Supported by available parcel and filing checks
historical,historical__M00632762,FALSE,Supported by available parcel and filing checks
historical,historical__M00641741,FALSE,Supported by available parcel and filing checks
historical,historical__M00643592,FALSE,Supported by available parcel and filing checks
historical,historical__M00647624,TRUE,Partial earlier parcels require allocation
historical,historical__M00648391,FALSE,Supported by available parcel and filing checks
historical,historical__M00665110,FALSE,Supported by available parcel and filing checks
historical,historical__M00665956,FALSE,Supported by available parcel and filing checks
historical,historical__M00666173,FALSE,Supported by available parcel and filing checks
historical,historical__M00666777,FALSE,Supported by available parcel and filing checks
historical,historical__M00671589,FALSE,Supported by available parcel and filing checks
historical,historical__M00672872,FALSE,Supported by available parcel and filing checks
historical,historical__M00675715,FALSE,Supported by available parcel and filing checks
historical,historical__M00683925,FALSE,Supported by available parcel and filing checks
historical,historical__M00686955,TRUE,Partial earlier parcels require allocation
historical,historical__M00688136,FALSE,Supported by available parcel and filing checks
historical,historical__M00694696,FALSE,Supported by available parcel and filing checks
historical,historical__M00696323,FALSE,Supported by available parcel and filing checks
historical,historical__M00718070,FALSE,Supported by available parcel and filing checks
historical,historical__M00749928,FALSE,Supported by available parcel and filing checks
historical,historical__M00771041,FALSE,Supported by available parcel and filing checks
historical,historical__M00775662,FALSE,Supported by available parcel and filing checks
historical,historical__M00785688,FALSE,Supported by available parcel and filing checks
historical,historical__M00798756,FALSE,Supported by available parcel and filing checks
historical,historical__M08010721,FALSE,Supported by available parcel and filing checks
historical,historical__M08011197,FALSE,Supported by available parcel and filing checks
historical,historical__M08022114,FALSE,Supported by available parcel and filing checks
historical,historical__M08022866,TRUE,Partial earlier parcels require allocation
historical,historical__M08028552,FALSE,Supported by available parcel and filing checks
historical,historical__Q00479380,FALSE,Supported by available parcel and filing checks
historical,historical__Q00482934,FALSE,Supported by available parcel and filing checks
historical,historical__Q00484597,FALSE,Supported by available parcel and filing checks
historical,historical__Q00490821,FALSE,Supported by available parcel and filing checks
historical,historical__Q00498832,FALSE,Supported by available parcel and filing checks
historical,historical__Q00501883,FALSE,Supported by available parcel and filing checks
historical,historical__Q00528155,FALSE,Supported by available parcel and filing checks
historical,historical__Q00528973,FALSE,Supported by available parcel and filing checks
historical,historical__Q00533905,TRUE,Shared earlier land or other filing
historical,historical__Q00540608,TRUE,Partial earlier parcels require allocation
historical,historical__Q00548195,TRUE,Shared earlier land or other filing
historical,historical__Q00555969,FALSE,Supported by available parcel and filing checks
historical,historical__Q00557681,FALSE,Supported by available parcel and filing checks
historical,historical__Q00564746,FALSE,Supported by available parcel and filing checks
historical,historical__Q00568756,FALSE,Supported by available parcel and filing checks
historical,historical__Q00577373,FALSE,Supported by available parcel and filing checks
historical,historical__Q00582731,FALSE,Supported by available parcel and filing checks
historical,historical__Q00584570,FALSE,Supported by available parcel and filing checks
historical,historical__Q00599457,FALSE,Supported by available parcel and filing checks
historical,historical__Q00607526,FALSE,Supported by available parcel and filing checks
historical,historical__Q00608144,FALSE,Supported by available parcel and filing checks
historical,historical__Q00612960,FALSE,Supported by available parcel and filing checks
historical,historical__Q00617404,FALSE,Supported by available parcel and filing checks
historical,historical__Q00623509,FALSE,Supported by available parcel and filing checks
historical,historical__Q00627197,FALSE,Supported by available parcel and filing checks
historical,historical__Q00636484,FALSE,Supported by available parcel and filing checks
historical,historical__Q00638678,FALSE,Supported by available parcel and filing checks
historical,historical__Q00641359,FALSE,Supported by available parcel and filing checks
historical,historical__Q00646536,FALSE,Supported by available parcel and filing checks
historical,historical__Q00646746,FALSE,Supported by available parcel and filing checks
historical,historical__Q00649207,FALSE,Supported by available parcel and filing checks
historical,historical__Q00650506,FALSE,Supported by available parcel and filing checks
historical,historical__Q00657653,TRUE,Shared earlier land or other filing
historical,historical__Q00657656,TRUE,Shared earlier land or other filing
historical,historical__Q00659801,FALSE,Supported by available parcel and filing checks
historical,historical__Q00660436,FALSE,Supported by available parcel and filing checks
historical,historical__Q00665096,FALSE,Supported by available parcel and filing checks
historical,historical__Q00665670,FALSE,Supported by available parcel and filing checks
historical,historical__Q00674206,TRUE,Partial earlier parcels require allocation
historical,historical__Q00674762,FALSE,Supported by available parcel and filing checks
historical,historical__Q00682330,FALSE,Supported by available parcel and filing checks
historical,historical__Q00682720,FALSE,Supported by available parcel and filing checks
historical,historical__Q00683000,FALSE,Supported by available parcel and filing checks
historical,historical__Q00683048,FALSE,Supported by available parcel and filing checks
historical,historical__Q00687999,FALSE,Supported by available parcel and filing checks
historical,historical__Q00702943,FALSE,Supported by available parcel and filing checks
historical,historical__Q00710146,FALSE,Supported by available parcel and filing checks
historical,historical__Q00711760,FALSE,Supported by available parcel and filing checks
historical,historical__Q00716326,FALSE,Supported by available parcel and filing checks
historical,historical__Q00718151,FALSE,Supported by available parcel and filing checks
historical,historical__Q00718735,FALSE,Supported by available parcel and filing checks
historical,historical__Q00721236,FALSE,Supported by available parcel and filing checks
historical,historical__Q00721898,FALSE,Supported by available parcel and filing checks
historical,historical__Q00738212,FALSE,Supported by available parcel and filing checks
historical,historical__Q00740418,FALSE,Supported by available parcel and filing checks
historical,historical__Q00761543,TRUE,Missing later parcel map
historical,historical__Q00783360,FALSE,Supported by available parcel and filing checks
historical,historical__Q00785605,FALSE,Supported by available parcel and filing checks
historical,historical__Q00791713,FALSE,Supported by available parcel and filing checks
historical,historical__Q00793435,FALSE,Supported by available parcel and filing checks
historical,historical__Q08012514,FALSE,Supported by available parcel and filing checks
historical,historical__Q08025120,FALSE,Supported by available parcel and filing checks
