sample,root_job_id,parent_id,date_filed,constituent_units
historical,121207504,historical__121207504,2020-04-08,614
historical,121207728,historical__121207728,2020-04-24,22
historical,121207764,historical__121207764,2020-04-24,232
historical,121207826,historical__121207826,2020-04-27,10
historical,121207933,historical__121207933,2020-05-07,7
historical,121207942,historical__121207942,2020-05-06,160
historical,121207988,historical__121207988,2020-05-07,10
historical,121208040,historical__121208040,2020-05-07,11
historical,121208077,historical__121208077,2020-05-08,75
historical,121208095,historical__121208095,2020-05-08,97
historical,121208102,historical__121208102,2020-05-08,7
historical,121208709,historical__121208709,2020-09-11,21
historical,121208861,historical__121208861,2020-11-04,28
historical,121208905,historical__121208905,2020-11-10,59
historical,121209138,historical__121209138,2020-12-24,88
historical,121209165,historical__121209165,2020-12-28,23
historical,121209174,historical__121209174,2020-12-28,92
historical,121209192,historical__121209192,2021-01-04,100
historical,121209281,historical__121209281,2021-01-22,453
historical,121209361,historical__121209361,2021-02-10,54
historical,121209469,historical__121209469,2021-02-26,23
historical,121209502,historical__121209502,2021-03-16,171
historical,121209575,historical__121209575,2021-07-20,92
historical,121209600,historical__121209600,2021-10-01,26
historical,123253273,historical__123253273,2019-01-04,14
historical,123692334,historical__123692334,2019-08-12,58
historical,123740336,historical__123740336,2019-11-12,113
historical,123752162,historical__123752153,2020-02-14,13
historical,123752153,historical__123752153,2020-02-14,9
historical,123756015,historical__123756015,2019-03-06,65
historical,123765817,historical__123765817,2019-06-10,12
historical,123777305,historical__123777305,2019-06-28,59
historical,123800093,historical__123800093,2019-08-14,54
historical,123854944,historical__123854944,2020-01-31,14
historical,123872363,historical__123872363,2019-04-11,14
historical,123872416,historical__123872416,2019-04-11,13
historical,123910517,historical__123910517,2020-04-17,28
historical,123910526,historical__123910526,2020-04-17,10
historical,140913064,historical__140913064,2020-06-16,23
historical,140968031,historical__140968031,2020-10-20,11
historical,210178966,historical__210178966,2019-01-07,107
historical,210178993,historical__210178993,2019-01-15,37
historical,210179082,historical__210179082,2019-02-07,25
historical,210179144,historical__210179144,2019-02-28,9
historical,210179171,historical__210179171,2019-03-05,17
historical,210179199,historical__210179199,2019-03-08,8
historical,210179215,historical__210179215,2019-03-15,80
historical,210179224,historical__210179224,2019-03-15,43
historical,210179242,historical__210179242,2019-03-19,153
historical,210179279,historical__210179279,2019-03-26,82
historical,210179457,historical__210179457,2019-04-12,171
historical,210179475,historical__210179475,2019-04-16,9
historical,210179493,historical__210179493,2019-04-24,55
historical,210179518,historical__210179518,2019-04-29,148
historical,210179545,historical__210179545,2019-05-08,36
historical,210179581,historical__210179581,2019-05-10,36
historical,210179616,historical__210179616,2019-05-21,119
historical,210179625,historical__210179625,2019-05-24,36
historical,210179634,historical__210179634,2019-05-29,116
historical,210179670,historical__210179670,2019-06-04,18
historical,210179705,historical__210179705,2019-02-19,245
historical,210179732,historical__210179732,2019-06-20,188
historical,210179750,historical__210179750,2019-06-22,29
historical,210179778,historical__210179778,2019-06-26,8
historical,210179803,historical__210179803,2019-06-27,221
historical,210179821,historical__210179821,2019-06-28,116
historical,210179830,historical__210179830,2019-07-01,133
historical,210179876,historical__210179876,2019-07-18,12
historical,210179910,historical__210179910,2019-02-12,35
historical,210179929,historical__210179929,2019-02-12,542
historical,210179965,historical__210179965,2019-07-25,163
historical,210179974,historical__210179974,2019-07-25,160
historical,210179983,historical__210179983,2019-07-25,85
historical,210179992,historical__210179992,2019-07-26,182
historical,210180016,historical__210180016,2019-08-07,25
historical,210180070,historical__210180070,2019-09-06,95
historical,210180105,historical__210180105,2019-09-10,265
historical,210180123,historical__210180123,2019-09-17,23
historical,210180178,historical__210180178,2019-09-25,134
historical,210180221,historical__210180221,2019-09-26,218
historical,210180258,historical__210180258,2019-10-03,93
historical,210180294,historical__210180294,2019-10-10,251
historical,210180310,historical__210180310,2019-10-11,10
historical,210180356,historical__210180356,2019-10-21,85
historical,210180365,historical__210180365,2019-10-21,72
historical,210180445,historical__210180445,2019-11-27,10
historical,210180454,historical__210180445,2019-11-27,10
historical,210180490,historical__210180490,2019-12-17,13
historical,210180533,historical__210180533,2019-12-26,141
historical,210180542,historical__210180533,2019-12-26,123
historical,210180604,historical__210180604,2020-01-17,101
historical,210180766,historical__210180720,2020-02-10,254
historical,210180720,historical__210180720,2020-02-06,166
historical,210180800,historical__210180800,2020-02-13,44
historical,210180828,historical__210180819,2020-02-18,326
historical,210180819,historical__210180819,2020-02-13,244
historical,210180855,historical__210180855,2020-02-25,40
historical,210180864,historical__210180864,2020-02-25,279
historical,210180891,historical__210180891,2020-02-26,118
historical,210180908,historical__210180908,2020-02-28,42
historical,210180953,historical__210180953,2020-03-03,16
historical,210180971,historical__210180971,2020-03-10,35
historical,210181051,historical__210181051,2020-03-25,22
historical,210181060,historical__210181060,2020-03-27,155
historical,210181079,historical__210181079,2020-03-27,205
historical,210181131,historical__210181131,2020-04-07,51
historical,210181202,historical__210181202,2020-04-21,200
historical,210181248,historical__210181248,2020-04-22,66
historical,210181337,historical__210181337,2020-05-05,154
historical,210181364,historical__210181364,2020-05-06,27
historical,210181373,historical__210181373,2020-05-07,150
historical,210181382,historical__210181382,2020-05-07,117
historical,210181444,historical__210181444,2020-05-11,12
historical,210181462,historical__210181462,2020-05-11,24
historical,210181541,historical__210181541,2020-05-27,13
historical,210181569,historical__210181569,2020-05-29,43
historical,210181603,historical__210181603,2020-06-15,33
historical,210181738,historical__210181738,2020-07-08,25
historical,210181747,historical__210181747,2020-07-09,102
historical,210181854,historical__210181854,2020-07-29,25
historical,210181925,historical__210181925,2020-09-08,74
historical,210181952,historical__210181952,2020-09-14,15
historical,210181989,historical__210181989,2020-09-18,21
historical,210182041,historical__210182041,2020-10-05,154
historical,210182069,historical__210182069,2020-10-13,710
historical,210182096,historical__210182096,2020-10-22,45
historical,210182112,historical__210182112,2020-10-27,55
historical,210182121,historical__210182121,2020-10-29,16
historical,210182158,historical__210182158,2020-11-05,135
historical,210182194,historical__210182194,2020-11-10,46
historical,210182256,historical__210182256,2020-11-20,224
historical,210182283,historical__210182283,2020-12-03,61
historical,210182309,historical__210182309,2020-12-16,105
historical,210182327,historical__210182327,2021-01-05,33
historical,210182336,historical__210182336,2021-01-07,13
historical,210182354,historical__210182354,2021-01-11,39
historical,210182372,historical__210182372,2021-01-21,182
historical,210182390,historical__210182390,2021-01-25,49
historical,210182407,historical__210182407,2021-01-26,52
historical,210182443,historical__210182443,2021-02-12,40
historical,210182461,historical__210182461,2021-02-22,10
historical,210182470,historical__210182470,2021-02-22,10
historical,210182498,historical__210182498,2021-02-23,16
historical,210182513,historical__210182513,2021-02-25,38
historical,220212543,historical__220212543,2021-03-01,73
historical,220212589,historical__220212589,2021-04-21,44
historical,220212641,historical__220212641,2021-09-23,8
historical,220212650,historical__220212650,2021-09-24,8
historical,220212678,historical__220212678,2021-09-24,8
historical,220212703,historical__220212703,2021-10-07,8
historical,220212712,historical__220212712,2021-10-07,8
historical,220212767,historical__220212767,2021-10-13,8
historical,220212918,historical__220212918,2022-11-02,251
historical,220517698,historical__220517698,2020-03-09,82
historical,220606084,historical__220606084,2019-11-29,8
historical,220632411,historical__220632411,2019-12-18,23
historical,220636523,historical__220636523,2019-12-30,33
historical,220638237,historical__220638237,2019-10-11,27
historical,220656243,historical__220656243,2019-01-16,10
historical,220656261,historical__220656261,2019-03-08,26
historical,220671075,historical__220671075,2019-03-01,165
historical,220672644,historical__220672644,2019-01-28,22
historical,220678835,historical__220678835,2019-03-12,43
historical,220685373,historical__220685373,2019-01-11,10
historical,220685453,historical__220685453,2019-05-24,43
historical,220688511,historical__220688511,2019-02-22,15
historical,220688539,historical__220688539,2019-06-25,33
historical,220689048,historical__220689048,2019-07-30,54
historical,220689431,historical__220689431,2019-04-02,30
historical,220689459,historical__220689459,2019-04-30,10
historical,220689529,historical__220689529,2019-05-02,10
historical,220689921,historical__220689921,2019-02-12,215
historical,220691393,historical__220691393,2019-03-19,10
historical,220691400,historical__220691400,2019-03-19,10
historical,220693514,historical__220693514,2019-03-19,8
historical,220693952,historical__220693952,2020-01-22,45
historical,220693961,historical__220693961,2019-03-19,53
historical,220694586,historical__220694586,2019-04-01,30
historical,220694602,historical__220694602,2019-04-09,66
historical,220694611,historical__220694611,2019-04-16,15
historical,220694700,historical__220694700,2019-03-28,59
historical,220694719,historical__220694719,2019-03-28,57
historical,220696174,historical__220696174,2019-04-02,31
historical,220696432,historical__220696432,2019-04-05,66
historical,220696628,historical__220696628,2019-04-01,8
historical,220696717,historical__220696717,2019-05-07,64
historical,220696851,historical__220696851,2019-03-28,151
historical,220696860,historical__220696851,2019-03-28,150
historical,220698555,historical__220698555,2019-06-21,35
historical,220699705,historical__220699705,2019-04-18,48
historical,220700873,historical__220700873,2019-06-05,562
historical,220704744,historical__220704744,2020-03-05,105
historical,220704753,historical__220704753,2020-05-26,72
historical,220705887,historical__220705887,2019-05-30,11
historical,220706118,historical__220706118,2019-06-04,20
historical,220706369,historical__220706369,2019-06-27,50
historical,220706779,historical__220706779,2019-06-03,8
historical,220706840,historical__220706840,2019-07-30,16
historical,220707867,historical__220707867,2019-06-21,10
historical,220707885,historical__220707885,2019-06-28,13
historical,220707929,historical__220707929,2019-06-26,124
historical,220708241,historical__220708241,2019-06-24,56
historical,220708321,historical__220708321,2019-06-25,21
historical,220708401,historical__220708401,2019-06-26,88
historical,220708410,historical__220708410,2019-06-25,10
historical,220708651,historical__220708651,2019-06-28,12
historical,220708688,historical__220708688,2019-06-25,17
historical,220708848,historical__220708848,2019-06-27,53
historical,220708857,historical__220708857,2019-06-27,16
historical,220709491,historical__220709491,2019-06-27,17
historical,220709785,historical__220709785,2019-06-28,34
historical,220711264,historical__220711264,2019-07-24,9
historical,220711941,historical__220711941,2019-08-01,19
historical,220712058,historical__220712058,2019-08-06,20
historical,220712272,historical__220712272,2019-08-15,27
historical,220712735,historical__220712735,2019-08-30,8
historical,220712762,historical__220712762,2019-09-30,9
historical,220712780,historical__220712780,2019-09-16,10
historical,220712888,historical__220712888,2019-08-16,32
historical,220714494,historical__220714494,2019-09-11,38
historical,220715304,historical__220715304,2019-10-15,22
historical,220715313,historical__220715313,2019-10-02,21
historical,220716125,historical__220716125,2019-10-16,13
historical,220716376,historical__220716376,2020-01-21,11
historical,220716937,historical__220716937,2019-10-16,8
historical,220716946,historical__220716937,2019-10-16,8
historical,220716964,historical__220716964,2019-12-11,113
historical,220717598,historical__220717598,2019-12-17,10
historical,220717927,historical__220717927,2020-01-15,18
historical,220718016,historical__220718016,2019-12-18,10
historical,220718025,historical__220718016,2019-12-18,8
historical,220718043,historical__220718043,2019-12-17,11
historical,220718052,historical__220718052,2019-12-18,10
historical,220719177,historical__220719177,2019-11-06,19
historical,220720049,historical__220720049,2019-11-19,21
historical,220720655,historical__220720655,2019-12-18,12
historical,220721404,historical__220721404,2019-12-05,12
historical,220721413,historical__220721413,2019-12-05,10
historical,220721841,historical__220721841,2019-12-20,8
historical,220721850,historical__220721841,2019-12-27,8
historical,220722813,historical__220722813,2019-12-30,33
historical,220722822,historical__220722822,2020-01-10,26
historical,220723732,historical__220723732,2020-01-22,55
historical,220723741,historical__220723741,2020-02-20,52
historical,220723750,historical__220723750,2020-02-28,22
historical,220725721,historical__220725721,2020-02-28,10
historical,220725730,historical__220725730,2020-02-28,10
historical,220726230,historical__220726230,2020-02-20,16
historical,220727113,historical__220727113,2020-02-27,23
historical,220727462,historical__220727462,2020-03-05,131
historical,220728096,historical__220728096,2020-03-13,54
historical,220729086,historical__220729086,2020-05-08,10
historical,220730582,historical__220730582,2020-04-08,10
historical,220731420,historical__220731420,2020-04-16,8
historical,220731581,historical__220731581,2020-05-08,13
historical,220731607,historical__220731607,2020-05-11,18
historical,220731625,historical__220731625,2020-05-08,15
historical,220732580,historical__220732580,2020-05-11,28
historical,220732777,historical__220732777,2020-05-12,10
historical,220732946,historical__220732946,2020-05-20,65
historical,220733384,historical__220733384,2020-06-03,24
historical,240274528,historical__240274528,2020-06-08,38
historical,240274537,historical__240274528,2020-06-08,38
historical,240275796,historical__240275796,2020-06-18,90
historical,240276107,historical__240276107,2020-06-23,11
historical,240276900,historical__240276900,2020-06-30,35
historical,240278828,historical__240278828,2020-07-17,73
historical,240280753,historical__240280753,2020-08-03,16
historical,240281173,historical__240281173,2020-08-05,7
historical,240281182,historical__240281173,2020-08-05,7
historical,240284553,historical__240284553,2020-09-01,50
historical,240285865,historical__240285865,2020-09-14,56
historical,240286800,historical__240286800,2020-09-18,25
historical,240286837,historical__240286837,2020-09-18,12
historical,240288416,historical__240288416,2020-09-27,6
historical,240288755,historical__240288755,2020-09-29,111
historical,240289923,historical__240289923,2020-10-10,17
historical,240289941,historical__240289941,2020-10-12,46
historical,240291215,historical__240291215,2020-10-21,18
historical,240292349,historical__240292349,2020-10-30,22
historical,240292367,historical__240292367,2020-10-30,10
historical,240292795,historical__240292795,2020-11-03,44
historical,240293339,historical__240293339,2020-11-06,59
historical,240294597,historical__240294597,2020-11-16,10
historical,240294604,historical__240294604,2020-11-16,10
historical,240294686,historical__240294686,2020-11-17,51
historical,240294944,historical__240294944,2020-11-19,32
historical,240296390,historical__240296390,2020-12-03,7
historical,240296657,historical__240296657,2020-12-07,110
historical,240297219,historical__240297219,2020-12-11,44
historical,240297558,historical__240297558,2020-12-15,25
historical,240298968,historical__240298968,2020-12-24,70
historical,240299084,historical__240299084,2020-12-24,33
historical,240299128,historical__240299128,2020-12-26,30
historical,240299137,historical__240299137,2020-12-27,10
historical,240299146,historical__240299146,2020-12-27,10
historical,240299155,historical__240299155,2020-12-27,8
historical,240299226,historical__240299226,2020-12-29,6
historical,240300535,historical__240300535,2021-01-28,36
historical,240301017,historical__240301017,2021-02-10,61
historical,240301099,historical__240301099,2021-02-12,38
historical,240301286,historical__240301286,2021-02-16,13
historical,240301552,historical__240301552,2021-02-23,88
historical,240301721,historical__240301721,2021-02-25,67
historical,240301794,historical__240301794,2021-02-26,64
historical,321069197,historical__321069197,2019-01-29,42
historical,321069721,historical__321069721,2019-03-20,21
historical,321091377,historical__321091377,2019-10-04,15
historical,321385602,historical__321385602,2019-01-04,40
historical,321385611,historical__321385611,2019-01-07,68
historical,321385700,historical__321385700,2019-01-11,171
historical,321385728,historical__321385728,2019-01-14,21
historical,321385737,historical__321385737,2019-01-14,8
historical,321385844,historical__321385844,2019-01-17,53
historical,321385862,historical__321385862,2019-01-17,94
historical,321385880,historical__321385880,2019-01-18,50
historical,321385933,historical__321385933,2019-01-22,19
historical,321386059,historical__321386059,2019-01-29,160
historical,321593888,historical__321386059,2019-02-19,156
historical,321386077,historical__321386077,2019-01-30,52
historical,321386095,historical__321386095,2019-01-30,27
historical,321386111,historical__321386111,2019-02-01,8
historical,321386175,historical__321386175,2019-02-06,100
historical,321386200,historical__321386200,2019-02-08,10
historical,321386264,historical__321386264,2019-02-13,13
historical,321386273,historical__321386273,2019-02-15,8
historical,321386326,historical__321386326,2019-02-15,10
historical,321386344,historical__321386344,2019-02-20,12
historical,321386380,historical__321386380,2019-02-25,14
historical,321386567,historical__321386567,2019-02-28,44
historical,321386585,historical__321386585,2019-03-01,7
historical,321386932,historical__321386932,2019-03-11,29
historical,321386950,historical__321386950,2019-03-14,43
historical,321387012,historical__321387012,2019-03-15,8
historical,321387021,historical__321387021,2019-03-15,335
historical,321387147,historical__321387021,2019-03-26,302
historical,321387076,historical__321387021,2019-03-15,108
historical,321387030,historical__321387030,2019-03-15,8
historical,321387067,historical__321387067,2019-03-15,33
historical,321387094,historical__321387094,2019-03-19,6
historical,321387138,historical__321387138,2019-03-21,6
historical,321387156,historical__321387156,2019-03-26,6
historical,321387263,historical__321387263,2019-03-27,139
historical,321387281,historical__321387281,2019-03-27,18
historical,321387290,historical__321387290,2019-03-28,136
historical,321387352,historical__321387352,2019-04-01,121
historical,321387361,historical__321387361,2019-04-01,21
historical,321387450,historical__321387450,2019-04-03,236
historical,321387478,historical__321387478,2019-04-08,264
historical,321387539,historical__321387539,2019-04-10,26
historical,321387575,historical__321387575,2019-04-11,70
historical,321387619,historical__321387619,2019-04-15,71
historical,321387913,historical__321387913,2019-05-02,52
historical,321457712,historical__321457712,2020-02-19,13
historical,321512412,historical__321512412,2019-02-08,6
historical,321570769,historical__321570769,2020-04-23,81
historical,321588082,historical__321588082,2020-01-17,9
historical,321588091,historical__321588091,2020-01-17,25
historical,321588171,historical__321588171,2020-01-22,9
historical,321588180,historical__321588180,2020-01-22,8
historical,321588199,historical__321588199,2020-01-27,10
historical,321588215,historical__321588215,2020-01-27,9
historical,321588224,historical__321588224,2020-01-28,9
historical,321588233,historical__321588233,2020-01-28,9
historical,321588297,historical__321588297,2020-01-29,9
historical,321588377,historical__321588377,2020-01-30,8
historical,321588402,historical__321588402,2020-01-31,8
historical,321588554,historical__321588554,2020-02-10,10
historical,321588563,historical__321588563,2020-02-10,9
historical,321588572,historical__321588572,2020-02-10,9
historical,321588590,historical__321588590,2020-02-10,8
historical,321588643,historical__321588643,2020-02-12,39
historical,321588670,historical__321588670,2020-02-12,7
historical,321588705,historical__321588705,2020-02-12,120
historical,321588714,historical__321588714,2020-02-13,50
historical,321588956,historical__321588956,2020-02-25,7
historical,321588965,historical__321588965,2020-02-25,14
historical,321588983,historical__321588983,2020-02-26,46
historical,321588992,historical__321588992,2020-02-26,10
historical,321589116,historical__321589116,2020-03-04,19
historical,321589125,historical__321589125,2020-03-04,57
historical,321589134,historical__321589134,2020-03-04,376
historical,321589410,historical__321589410,2020-03-18,8
historical,321589474,historical__321589474,2020-03-19,8
historical,321589483,historical__321589483,2020-03-19,10
historical,321589624,historical__321589624,2020-03-27,10
historical,321589642,historical__321589642,2020-03-27,8
historical,321589688,historical__321589688,2020-04-02,8
historical,321589697,historical__321589697,2020-04-02,8
historical,321589704,historical__321589704,2020-04-03,374
historical,321589713,historical__321589713,2020-04-03,121
historical,321589722,historical__321589722,2020-04-03,57
historical,321589731,historical__321589731,2020-04-03,12
historical,321589759,historical__321589740,2020-04-03,7
historical,321589740,historical__321589740,2020-04-03,6
historical,321589786,historical__321589786,2020-04-03,16
historical,321589802,historical__321589802,2020-04-03,6
historical,321589839,historical__321589839,2020-04-03,10
historical,321589857,historical__321589857,2020-04-06,8
historical,321589884,historical__321589884,2020-04-07,58
historical,321589893,historical__321589893,2020-04-07,49
historical,321589991,historical__321589991,2020-04-13,7
historical,321590060,historical__321590060,2020-04-17,45
historical,321590113,historical__321590113,2020-04-20,569
historical,321590177,historical__321590177,2020-04-22,22
historical,321590186,historical__321590186,2020-04-22,10
historical,321590275,historical__321590275,2020-04-29,15
historical,321590293,historical__321590293,2020-04-28,71
historical,321590300,historical__321590300,2020-04-29,7
historical,321590319,historical__321590319,2020-04-29,28
historical,321590328,historical__321590328,2020-04-29,175
historical,321590337,historical__321590337,2020-04-29,45
historical,321590346,historical__321590346,2020-04-29,143
historical,321590382,historical__321590382,2020-05-01,62
historical,321590435,historical__321590435,2020-05-04,12
historical,321590444,historical__321590444,2020-05-01,37
historical,321590480,historical__321590453,2020-05-04,15
historical,321590453,historical__321590453,2020-05-04,8
historical,321590532,historical__321590532,2020-05-05,682
historical,321590541,historical__321590541,2020-05-05,46
historical,321590578,historical__321590578,2020-05-05,10
historical,321590649,historical__321590649,2020-05-06,93
historical,321590701,historical__321590701,2020-05-07,8
historical,321590747,historical__321590747,2020-05-07,10
historical,321590756,historical__321590756,2020-05-07,10
historical,321590765,historical__321590765,2020-05-07,13
historical,321590854,historical__321590854,2020-05-11,8
historical,321590907,historical__321590907,2020-05-18,6
historical,321590989,historical__321590989,2020-05-19,22
historical,321591050,historical__321591050,2020-05-27,7
historical,321591755,historical__321591755,2020-05-09,21
historical,321591782,historical__321591782,2020-05-11,6
historical,321591817,historical__321591817,2020-05-12,16
historical,321591862,historical__321591862,2020-06-03,10
historical,321591871,historical__321591871,2020-06-03,10
historical,321591899,historical__321591899,2020-06-03,7
historical,321591933,historical__321591933,2020-06-08,7
historical,321591988,historical__321591988,2020-06-08,23
historical,321592059,historical__321592059,2020-06-11,30
historical,321592095,historical__321592095,2020-06-15,8
historical,321592102,historical__321592102,2020-06-15,8
historical,321592139,historical__321592139,2020-06-18,13
historical,321592148,historical__321592148,2020-06-18,7
historical,321592157,historical__321592157,2020-06-18,233
historical,321592184,historical__321592184,2020-06-25,9
historical,321592200,historical__321592200,2020-06-25,229
historical,321592246,historical__321592246,2020-06-26,10
historical,321592308,historical__321592308,2020-07-01,80
historical,321592344,historical__321592344,2020-07-06,171
historical,321592442,historical__321592442,2020-07-15,7
historical,321592549,historical__321592549,2020-07-24,31
historical,321592558,historical__321592558,2020-07-24,15
historical,321592576,historical__321592576,2020-07-24,50
historical,321592585,historical__321592585,2020-07-28,8
historical,321592594,historical__321592594,2020-07-28,7
historical,321592610,historical__321592610,2020-08-03,7
historical,321592683,historical__321592683,2020-08-06,8
historical,321592709,historical__321592709,2020-08-07,55
historical,321592718,historical__321592718,2020-08-11,123
historical,321592763,historical__321592763,2020-08-13,103
historical,321592790,historical__321592790,2020-08-13,98
historical,321592807,historical__321592807,2020-08-13,29
historical,321592825,historical__321592825,2020-08-17,184
historical,321593049,historical__321593049,2019-05-08,7
historical,321593085,historical__321593085,2019-05-10,8
historical,321593101,historical__321593101,2019-05-15,104
historical,321593227,historical__321593227,2019-05-21,8
historical,321593236,historical__321593236,2019-05-24,6
historical,321593263,historical__321593263,2019-05-28,10
historical,321593361,historical__321593361,2019-05-29,10
historical,321593432,historical__321593432,2019-06-07,41
historical,321593469,historical__321593469,2019-06-07,24
historical,321593539,historical__321593539,2019-06-12,43
historical,321593548,historical__321593548,2019-06-12,8
historical,321593557,historical__321593557,2019-06-13,20
historical,321593673,historical__321593673,2019-06-14,108
historical,321593682,historical__321593682,2019-06-14,24
historical,321593735,historical__321593735,2019-06-19,46
historical,321593744,historical__321593744,2019-06-19,42
historical,321593806,historical__321593806,2019-06-20,21
historical,321593815,historical__321593815,2019-06-20,16
historical,321593986,historical__321593986,2019-06-26,569
historical,321594137,historical__321594137,2019-06-27,320
historical,321594155,historical__321594155,2019-06-27,66
historical,321594164,historical__321594164,2019-06-27,27
historical,321594226,historical__321594226,2019-06-28,135
historical,321594262,historical__321594262,2019-06-28,18
historical,321594324,historical__321594324,2019-07-02,11
historical,321594379,historical__321594379,2019-07-12,8
historical,321594388,historical__321594388,2019-07-12,33
historical,321594422,historical__321594422,2019-07-16,116
historical,321594501,historical__321594501,2019-07-23,6
historical,321594547,historical__321594547,2019-07-25,6
historical,321594672,historical__321594672,2019-07-26,127
historical,321594681,historical__321594681,2019-07-24,18
historical,321594832,historical__321594832,2019-08-12,160
historical,321594967,historical__321594967,2019-08-15,26
historical,321595029,historical__321595029,2019-09-26,24
historical,321595047,historical__321595047,2019-10-02,10
historical,321595083,historical__321595083,2019-10-03,58
historical,321595092,historical__321595092,2019-10-04,174
historical,321595145,historical__321595145,2019-10-05,441
historical,321595216,historical__321595216,2019-10-09,15
historical,321595341,historical__321595341,2019-10-17,11
historical,321595350,historical__321595350,2019-10-17,15
historical,321595369,historical__321595369,2019-10-18,6
historical,321595403,historical__321595403,2019-10-21,798
historical,321595458,historical__321595458,2019-10-22,9
historical,321595582,historical__321595582,2019-10-28,39
historical,321588545,historical__321595608,2020-02-10,77
historical,321595635,historical__321595608,2019-10-30,58
historical,321595608,historical__321595608,2019-10-29,39
historical,321595617,historical__321595617,2019-10-30,8
historical,321595653,historical__321595653,2019-11-01,53
historical,321595662,historical__321595662,2019-11-01,8
historical,321595715,historical__321595715,2019-11-07,9
historical,321595733,historical__321595733,2019-11-08,69
historical,321595751,historical__321595751,2019-11-08,76
historical,321595797,historical__321595797,2019-11-12,90
historical,321595831,historical__321595831,2019-10-17,16
historical,321595840,historical__321595840,2019-09-06,8
historical,321595902,historical__321595902,2019-11-15,9
historical,321595911,historical__321595911,2019-11-15,9
historical,321596000,historical__321596000,2019-11-22,34
historical,321596037,historical__321596037,2019-11-22,7
historical,321596144,historical__321596144,2019-12-02,47
historical,321596206,historical__321596206,2019-12-04,9
historical,321596242,historical__321596242,2019-12-05,7
historical,321596340,historical__321596340,2019-12-10,17
historical,321596386,historical__321596386,2019-12-12,13
historical,321596395,historical__321596395,2019-12-12,12
historical,321596402,historical__321596402,2019-12-13,60
historical,321596484,historical__321596484,2019-12-20,165
historical,321596493,historical__321596493,2019-12-20,8
historical,321596518,historical__321596518,2019-12-20,10
historical,321596536,historical__321596536,2019-12-20,157
historical,321596625,historical__321596625,2019-12-30,50
historical,321596661,historical__321596661,2019-12-31,10
historical,321596830,historical__321596830,2020-01-09,25
historical,321596858,historical__321596858,2020-01-10,38
historical,321596947,historical__321596947,2020-01-13,6
historical,321596965,historical__321596965,2020-01-14,8
historical,321597009,historical__321597009,2019-08-22,58
historical,321597090,historical__321597090,2019-08-27,12
historical,321597116,historical__321597116,2019-08-28,8
historical,321597134,historical__321597134,2019-08-28,8
historical,321597143,historical__321597143,2019-08-28,8
historical,321597152,historical__321597152,2019-08-28,8
historical,321597189,historical__321597189,2019-08-29,29
historical,321597205,historical__321597205,2019-08-29,7
historical,321597269,historical__321597269,2019-09-03,8
historical,321597278,historical__321597278,2019-09-03,8
historical,321597287,historical__321597287,2019-09-03,8
historical,321597296,historical__321597296,2019-09-03,8
historical,321597303,historical__321597303,2019-09-03,8
historical,321597312,historical__321597312,2019-09-03,8
historical,321597321,historical__321597321,2019-09-03,8
historical,321597330,historical__321597330,2019-09-03,8
historical,321597349,historical__321597349,2019-09-03,8
