sample,parent_id,cohort_date,source_end_date,parent_total_units,n_components,sorted_component_vector,component_addresses,splitting_verification_status,right_window_observed,lot_area_sqft,residential_far,built_far,borough,multi_lot_indicator,weight
historical,historical__121207504,2020-04-08,2023-12-29,614,1,614,180 EAST 125 STREET,not_applicable_single_component,TRUE,42540,6.02,1.1950230228974719,Manhattan,1,8.745932135673521e-4
historical,historical__121207764,2020-04-24,2023-12-29,232,1,232,77 EAST 118 STREET,not_applicable_single_component,TRUE,17642,10,0,Manhattan,0,5.275667914396388e-4
historical,historical__121207942,2020-05-06,2023-12-29,160,1,160,162 EAST 36 STREET,not_applicable_single_component,TRUE,2469,10,2.4,Manhattan,0,0.0011738758922675322
historical,historical__121208077,2020-05-08,2023-12-29,75,1,75,270 EAST 2 STREET,not_applicable_single_component,TRUE,8162,6.02,2.13,Manhattan,0,0.0013837160177171863
historical,historical__121208095,2020-05-08,2023-12-29,97,1,97,18 WEST 55 STREET,not_applicable_single_component,TRUE,2312,8,3.98,Manhattan,0,0.001997177107695452
historical,historical__121208905,2020-11-10,2023-12-29,59,1,59,26 SHERMAN AVENUE,not_applicable_single_component,TRUE,10000,3.44,0.93,Manhattan,0,0.0013835593840319834
historical,historical__121209138,2020-12-24,2023-12-29,88,1,88,4778 BROADWAY,not_applicable_single_component,TRUE,11800,6.02,0.37,Manhattan,0,9.201878073479354e-4
historical,historical__121209174,2020-12-28,2023-12-29,92,1,92,4560 BROADWAY,not_applicable_single_component,TRUE,15450,3.44,0,Manhattan,0,0.0010715772554666244
historical,historical__121209281,2021-01-22,2023-12-29,453,1,453,550 10 AVENUE,not_applicable_single_component,TRUE,15939,10,6.2,Manhattan,0,0.0018193974773902683
historical,historical__121209361,2021-02-10,2023-12-29,54,1,54,350 EAST 18 STREET,not_applicable_single_component,TRUE,1840,7.52,0,Manhattan,0,9.96094135388093e-4
historical,historical__121209502,2021-03-16,2023-12-29,171,1,171,270 WEST 96 STREET,not_applicable_single_component,TRUE,5034,10,0,Manhattan,0,6.499400334328081e-4
historical,historical__121209575,2021-07-20,2023-12-29,92,1,92,39 WEST 128 STREET,not_applicable_single_component,TRUE,12490,3.44,1.45,Manhattan,0,0.0014771124024026926
historical,historical__123692334,2019-08-12,2023-12-29,58,1,58,115 EAST 55 STREET,not_applicable_single_component,TRUE,1883,10,2.35,Manhattan,0,0.001215959407544335
historical,historical__123740336,2019-11-12,2023-12-29,113,1,113,212 EAST 125 STREET,not_applicable_single_component,TRUE,2523,6.02,2.56,Manhattan,0,0.0018308027512011407
historical,historical__123756015,2019-03-06,2023-12-29,65,1,65,609 SECOND AVENUE,not_applicable_single_component,TRUE,1469,7.52,0,Manhattan,0,0.0010341130313446445
historical,historical__123777305,2019-06-28,2023-12-29,59,1,59,63 PITT STREET,not_applicable_single_component,TRUE,2517,6,4,Manhattan,0,0.0024372097452681324
historical,historical__210178966,2019-01-07,2023-12-29,107,1,107,972 WASHINGTON AVENUE,not_applicable_single_component,TRUE,10790,3.44,0.8299999999999998,Bronx,0,0.002417519088091688
historical,historical__210179215,2019-03-15,2023-12-29,80,1,80,880 EAST 147 STREET,not_applicable_single_component,TRUE,5300,5,0.29,Bronx,0,0.002077946063065225
historical,historical__210179242,2019-03-19,2023-12-29,153,1,153,656 EAST 176 STREET,not_applicable_single_component,TRUE,13337,0,0,Bronx,0,0.0028406601683818645
historical,historical__210179279,2019-03-26,2023-12-29,82,1,82,872 BRONX PARK SOUTH,not_applicable_single_component,TRUE,3189,3.44,0,Bronx,0,0.0025143867814566025
historical,historical__210179493,2019-04-24,2023-12-29,55,1,55,2395 PALISADE AVENUE,not_applicable_single_component,TRUE,6500,3,1.52,Bronx,0,0.003155011676204102
historical,historical__210179518,2019-04-29,2023-12-29,148,1,148,3401 3 AVENUE,not_applicable_single_component,TRUE,4855,3.44,0.43,Bronx,0,0.0025518129902295625
historical,historical__210179616,2019-05-21,2023-12-29,119,1,119,1973 DALY AVENUE,not_applicable_single_component,TRUE,1110,5,0,Bronx,0,0.0025454689488667325
historical,historical__210179634,2019-05-29,2023-12-29,116,1,116,1544 SHAKESPEARE AVENUE,not_applicable_single_component,TRUE,2500,3.44,0,Bronx,0,0.0026182848469152647
historical,historical__210179705,2019-02-19,2023-12-29,245,1,245,1169 RIVER AVENUE,not_applicable_single_component,TRUE,24165,7.52,0.67,Bronx,0,0.0013365803193576286
historical,historical__210179732,2019-06-20,2023-12-29,188,1,188,2850 WEBSTER AVENUE,not_applicable_single_component,TRUE,15635,4.2,1,Bronx,0,0.002170570552989757
historical,historical__210179803,2019-06-27,2023-12-29,221,1,221,1701 PURDY STREET,not_applicable_single_component,TRUE,32350,2.43,0,Bronx,0,0.001900907643402177
historical,historical__210179821,2019-06-28,2023-12-29,116,1,116,2880 JEROME AVENUE,not_applicable_single_component,TRUE,10962,6.02,0,Bronx,0,0.0015630349033811056
historical,historical__210179830,2019-07-01,2023-12-29,133,1,133,750 EAST 134 STREET,not_applicable_single_component,TRUE,11081,0,0.08,Bronx,0,0.0029761113850401877
historical,historical__210179965,2019-07-25,2023-12-29,163,1,163,261 EAST 202 STREET,not_applicable_single_component,TRUE,2242,6.02,0,Bronx,0,0.0020352646312176035
historical,historical__210179974,2019-07-25,2023-12-29,160,1,160,270 EAST 203 STREET,not_applicable_single_component,TRUE,2250,6.02,1.56,Bronx,0,0.002765655479400255
historical,historical__210179983,2019-07-25,2023-12-29,85,1,85,2064 GRAND CONCOURSE,not_applicable_single_component,TRUE,6854,6.02,1.5,Bronx,0,0.0022708890187107585
historical,historical__210180105,2019-09-10,2023-12-29,265,1,265,1017 OLMSTEAD AVENUE,not_applicable_single_component,TRUE,60979,1.25,0.17,Bronx,0,0.002001426276220779
historical,historical__210180178,2019-09-25,2023-12-29,134,1,134,1883 CROTONA AVENUE,not_applicable_single_component,TRUE,2740,3.44,0.5,Bronx,0,0.0028455235189681367
historical,historical__210180221,2019-09-26,2023-12-29,218,1,218,50 WILLIS AVENUE,not_applicable_single_component,TRUE,29530,6.02,0,Bronx,0,0.001325498626826449
historical,historical__210180258,2019-10-03,2023-12-29,93,1,93,4519 WHITE PLAINS ROAD,not_applicable_single_component,TRUE,15800,2.43,0.49,Bronx,0,0.0023585319307313658
historical,historical__210180294,2019-10-10,2023-12-29,251,1,251,714 EAST 241 STREET,not_applicable_single_component,TRUE,24123,0,0.25,Bronx,0,0.00270390196986194
historical,historical__210180356,2019-10-21,2023-12-29,85,1,85,3069 VILLA AVENUE,not_applicable_single_component,TRUE,12500,6.02,0,Bronx,0,0.0015292686852458014
historical,historical__210180365,2019-10-21,2023-12-29,72,1,72,1210 SIMPSON STREET,not_applicable_single_component,TRUE,2500,3.44,0,Bronx,0,0.0026182848469152647
historical,historical__210180533,2019-12-26,2023-12-29,264,2,141+123,227 EAST 134 STREET;2455 3 AVENUE,suggestive_separate_components,TRUE,24880,6.019999999999999,0.5859726688102894,Bronx,1,0.0015306590752579433
historical,historical__210180604,2020-01-17,2023-12-29,101,1,101,3054 VILLA AVENUE,not_applicable_single_component,TRUE,44717,6.02,0.19999999999999998,Bronx,0,0.0012867963909816292
historical,historical__210180819,2020-02-13,2023-12-29,570,2,326+244,1600 GRAND AVENUE;1600 MACOMBS ROAD,suggestive_separate_components,TRUE,70063,5.856133194410744,1.1471104577308993,Bronx,1,0.001463960676214373
historical,historical__210180864,2020-02-25,2023-12-29,279,1,279,2082 BOSTON ROAD,not_applicable_single_component,TRUE,76664,6.02,2.62,Bronx,0,0.0018947874701918598
historical,historical__210180891,2020-02-26,2023-12-29,118,1,118,1746 ANDREWS AVENUE SOUTH,not_applicable_single_component,TRUE,15280,3.44,0,Bronx,0,0.0019374979542549943
historical,historical__210181060,2020-03-27,2023-12-29,155,1,155,299 EAST 161 STREET,not_applicable_single_component,TRUE,3650,6.02,1.1,Bronx,0,0.0023307824636683546
historical,historical__210181079,2020-03-27,2023-12-29,205,1,205,1001 THIERIOT AVENUE,not_applicable_single_component,TRUE,12613,1.25,0,Bronx,0,0.0025155738502611784
historical,historical__210181131,2020-04-07,2023-12-29,51,1,51,2069 HONEYWELL AVENUE,not_applicable_single_component,TRUE,4073,3.44,0.62,Bronx,0,0.0027276473552591755
historical,historical__210181202,2020-04-21,2023-12-29,200,1,200,2413 THIRD AVENUE,not_applicable_single_component,TRUE,24700,6.02,1.6,Bronx,0,0.0018712757428107143
historical,historical__210181248,2020-04-22,2023-12-29,66,1,66,1559 BOONE AVENUE,not_applicable_single_component,TRUE,10000,3,1,Bronx,0,0.002650955002345339
historical,historical__210181337,2020-05-05,2023-12-29,154,1,154,1940 TURNBULL AVENUE,not_applicable_single_component,TRUE,12776,6.02,0,Bronx,0,0.001523723115509331
historical,historical__210181373,2020-05-07,2023-12-29,150,1,150,1323 BOSTON ROAD,not_applicable_single_component,TRUE,13950,2.43,1,Bronx,0,0.0026623236970584126
historical,historical__210181382,2020-05-07,2023-12-29,117,1,117,1841 SEWARD AVENUE,not_applicable_single_component,TRUE,679000,2.43,1.5,Bronx,0,0.001539428428368956
historical,historical__210181747,2020-07-09,2023-12-29,102,1,102,2520 JEROME AVENUE,not_applicable_single_component,TRUE,17775,6.02,0.20534458509142053,Bronx,0,0.0015018074142069484
historical,historical__210181925,2020-09-08,2023-12-29,74,1,74,16 WADE SQUARE,not_applicable_single_component,TRUE,2001,3.44,0.68,Bronx,0,0.0031064530002146125
historical,historical__210182041,2020-10-05,2023-12-29,154,1,154,334 EAST 176 STREET,not_applicable_single_component,TRUE,2003,3.44,0,Bronx,0,0.00271661977121667
historical,historical__210182069,2020-10-13,2023-12-29,710,1,710,355 EXTERIOR STREET,not_applicable_single_component,TRUE,120272,3.44,0.2648164161234535,Bronx,1,0.0014482470484151668
historical,historical__210182112,2020-10-27,2023-12-29,55,1,55,21 MT HOPE PLACE,not_applicable_single_component,TRUE,3125,6.02,1.09,Bronx,0,0.0023870691390678505
historical,historical__210182283,2020-12-03,2023-12-29,61,1,61,2351 WALTON AVENUE,not_applicable_single_component,TRUE,4750,6.02,0,Bronx,0,0.0017963196006108928
historical,historical__210182372,2021-01-21,2023-12-29,182,1,182,1340 BLONDELL AVENUE,not_applicable_single_component,TRUE,45090,4,0.12000000000000001,Bronx,0,0.0015627117240497783
historical,historical__210182407,2021-01-26,2023-12-29,52,1,52,390 EAST MOSHOLU PARKWAY SOUTH,not_applicable_single_component,TRUE,6340,6.02,1.6100000000000003,Bronx,0,0.0023509113363897045
historical,historical__220212543,2021-03-01,2023-12-29,73,1,73,2702 CRESTON AVENUE,not_applicable_single_component,TRUE,1485,6.02,0.87,Bronx,0,0.0025870002270352082
historical,historical__220212918,2022-11-02,2023-12-29,251,1,251,484 EAST 178 STREET,not_applicable_single_component,TRUE,22381,4.2,0,Bronx,0,0.0016792906741663577
historical,historical__220517698,2020-03-09,2023-12-29,82,1,82,4435 WHITE PLAINS ROAD,not_applicable_single_component,TRUE,18008,2.43,0,Bronx,0,0.0020954629802604594
historical,historical__220671075,2019-03-01,2023-12-29,165,1,165,4720 THIRD AVENUE,not_applicable_single_component,TRUE,16865,5,1.12,Bronx,0,0.0020183951583260286
historical,historical__220689048,2019-07-30,2023-12-29,54,1,54,2070 HONEYWELL AVENUE,not_applicable_single_component,TRUE,4963,3.4400000000000004,0.38,Bronx,0,0.002517576570270408
historical,historical__220689921,2019-02-12,2023-12-29,215,1,215,276 GRAND CONCOURSE,not_applicable_single_component,TRUE,31900,6.02,0.29,Bronx,0,0.0013855028192566478
historical,historical__220693961,2019-03-19,2023-12-29,53,1,53,2500 BARKER AVENUE,not_applicable_single_component,TRUE,5000,2.43,0,Bronx,0,0.0025932763342958656
historical,historical__220694602,2019-04-09,2023-12-29,66,1,66,722 EAST 216 STREET,not_applicable_single_component,TRUE,5544,4,0.73,Bronx,0,0.0024972932249717923
historical,historical__220694700,2019-03-28,2023-12-29,59,1,59,4427 WHITE PLAINS ROAD,not_applicable_single_component,TRUE,15040,2.43,0.72,Bronx,0,0.0024881471638065022
historical,historical__220694719,2019-03-28,2023-12-29,57,1,57,2468 TIEBOUT AVENUE,not_applicable_single_component,TRUE,11300,3.44,0,Bronx,0,0.002037227735177214
historical,historical__220696432,2019-04-05,2023-12-29,66,1,66,3162 VILLA AVENUE,not_applicable_single_component,TRUE,1600,6.02,0.64,Bronx,0,0.0024419401309435334
historical,historical__220696717,2019-05-07,2023-12-29,64,1,64,2724 HEATH AVENUE,not_applicable_single_component,TRUE,14863,2.43,0,Bronx,0,0.0021634463564121804
historical,historical__220696851,2019-03-28,2023-12-29,301,2,151+150,310 GRAND CONCOURSE;322 GRAND CONCOURSE,suggestive_separate_components,TRUE,24027,6.019999999999999,0.33523452782286595,Bronx,1,0.0014653852766589555
historical,historical__220700873,2019-06-05,2023-12-29,562,1,562,1580 STORY AVENUE,not_applicable_single_component,TRUE,203910,2.43,0,Bronx,0,0.0013994570264167475
historical,historical__220704744,2020-03-05,2023-12-29,105,1,105,1073 SUMMIT AVENUE,not_applicable_single_component,TRUE,3750,3.44,0,Bronx,0,0.002447515474109983
historical,historical__220704753,2020-05-26,2023-12-29,72,1,72,305 EAST 165 STREET,not_applicable_single_component,TRUE,9742,3.4399999999999995,0,Bronx,0,0.002088127798952659
historical,historical__220706369,2019-06-27,2023-12-29,50,1,50,1353 CASTLE HILL AVENUE,not_applicable_single_component,TRUE,10300,2.43,0,Bronx,0,0.002299531504822457
historical,historical__220707929,2019-06-26,2023-12-29,124,1,124,286 RIDER AVENUE,not_applicable_single_component,TRUE,21078,4,0.98,Bronx,0,0.0021007464754802543
historical,historical__220708241,2019-06-24,2023-12-29,56,1,56,2104 RYER AVENUE,not_applicable_single_component,TRUE,5156,3.44,0.68,Bronx,0,0.002653915581534955
historical,historical__220708401,2019-06-26,2023-12-29,88,1,88,1760 BOONE AVENUE,not_applicable_single_component,TRUE,2276,4,0,Bronx,0,0.0025081036943191705
historical,historical__220708848,2019-06-27,2023-12-29,53,1,53,1731 WEST FARMS ROAD,not_applicable_single_component,TRUE,9723,5,0.67,Bronx,0,0.0020244276463916946
historical,historical__220716964,2019-12-11,2023-12-29,113,1,113,2495 SEDGWICK AVENUE,not_applicable_single_component,TRUE,5517,2.43,0,Bronx,0,0.0025511764047765105
historical,historical__220723732,2020-01-22,2023-12-29,55,1,55,101 BRUCKNER BOULEVARD,not_applicable_single_component,TRUE,12500,3,0,Bronx,0,0.0020977183043406006
historical,historical__220723741,2020-02-20,2023-12-29,52,1,52,554 TRINITY AVENUE,not_applicable_single_component,TRUE,10709,3.44,0.83,Bronx,0,0.002420551191045447
historical,historical__220727462,2020-03-05,2023-12-29,131,1,131,2047 RYER AVENUE,not_applicable_single_component,TRUE,11747,6.019999999999999,0,Bronx,0,0.0015451556008587916
historical,historical__220728096,2020-03-13,2023-12-29,54,1,54,140 WEST FORDHAM ROAD,not_applicable_single_component,TRUE,9500,3.44,0.05,Bronx,0,0.002117634643989852
historical,historical__220732946,2020-05-20,2023-12-29,65,1,65,6375 BROADWAY,not_applicable_single_component,TRUE,35525,2.43,1.86,Bronx,0,0.002699557359594037
historical,historical__240274528,2020-06-08,2023-12-29,76,2,38+38,2423 BARKER AVENUE;2428 BRONX PARK EAST,suggestive_separate_components,TRUE,9069,3.44,0.28891608777152944,Bronx,1,0.0022368706410795546
historical,historical__240275796,2020-06-18,2023-12-29,90,1,90,6327 BROADWAY,not_applicable_single_component,TRUE,5000,2.43,0,Bronx,0,0.0025932763342958656
historical,historical__240278828,2020-07-17,2023-12-29,73,1,73,4750 WHITE PLAINS ROAD,not_applicable_single_component,TRUE,5074,3,1.26,Bronx,0,0.0031235909640914645
historical,historical__240284553,2020-09-01,2023-12-29,50,1,50,2441 CROTONA AVENUE,not_applicable_single_component,TRUE,12557,2.43,0.08,Bronx,0,0.0022603131701047705
historical,historical__240285865,2020-09-14,2023-12-29,56,1,56,661 MANIDA STREET,not_applicable_single_component,TRUE,7500,2.43,0.28,Bronx,0,0.0025615753451124863
historical,historical__240288755,2020-09-29,2023-12-29,111,1,111,2072 ANTHONY AVENUE,not_applicable_single_component,TRUE,2690,6.02,0.84,Bronx,0,0.0023297524567807083
historical,historical__240293339,2020-11-06,2023-12-29,59,1,59,2528 GRAND AVENUE,not_applicable_single_component,TRUE,5000,2.43,0.59,Bronx,0,0.0029128251294932087
historical,historical__240294686,2020-11-17,2023-12-29,51,1,51,113 EAST 184 STREET,not_applicable_single_component,TRUE,5863,6.019999999999999,0,Bronx,0,0.0017345049332182913
historical,historical__240296657,2020-12-07,2023-12-29,110,1,110,1245 EDWARD L GRANT HIGHWAY,not_applicable_single_component,TRUE,10350,7.52,0.89,Bronx,0,0.001607191972719208
historical,historical__240298968,2020-12-24,2023-12-29,70,1,70,3184 WEBSTER AVENUE,not_applicable_single_component,TRUE,8708,4.2,0.17,Bronx,0,0.00203170538644137
historical,historical__240301017,2021-02-10,2023-12-29,61,1,61,1616 CROSBY AVENUE,not_applicable_single_component,TRUE,5945,3.44,0.4,Bronx,0,0.002452736420046823
historical,historical__240301552,2021-02-23,2023-12-29,88,1,88,189 EAST 205 STREET,not_applicable_single_component,TRUE,3495,6.02,0.7,Bronx,0,0.0021698144732544234
historical,historical__240301721,2021-02-25,2023-12-29,67,1,67,2076 WALTON AVENUE,not_applicable_single_component,TRUE,2536,6.02,0.8,Bronx,0,0.0023342493727322184
historical,historical__240301794,2021-02-26,2023-12-29,64,1,64,173 EAST 205 STREET,not_applicable_single_component,TRUE,5000,6.02,0,Bronx,0,0.0017810581513181965
historical,historical__321385611,2019-01-07,2023-12-29,68,1,68,643 DEGRAW STREET,not_applicable_single_component,TRUE,1043,6,0,Brooklyn,0,0.0014821497971589741
historical,historical__321385844,2019-01-17,2023-12-29,53,1,53,6020 3 AVENUE,not_applicable_single_component,TRUE,7046,2,0.19,Brooklyn,0,0.001701931808246008
historical,historical__321385862,2019-01-17,2023-12-29,94,1,94,15 MONTIETH STREET,not_applicable_single_component,TRUE,1833,3,0,Brooklyn,0,0.001847195309761447
historical,historical__321385880,2019-01-18,2023-12-29,50,1,50,108 DOWNING STREET,not_applicable_single_component,TRUE,985,4,0,Brooklyn,0,0.0018447107720970133
historical,historical__321386059,2019-01-29,2023-12-29,316,2,160+156,561 EMERALD STREET;583 EMERALD STREET,suggestive_separate_components,TRUE,39700,3.3350125944584383,0,Brooklyn,1,0.0010693365469683998
historical,historical__321386077,2019-01-30,2023-12-29,52,1,52,169 JOHNSON AVENUE,not_applicable_single_component,TRUE,7500,2.43,0,Brooklyn,0,0.0015510843499261565
historical,historical__321387021,2019-03-15,2023-12-29,745,3,335+302+108,1 EAGLE STREET;227 WEST STREET;27 EAGLE STREET,unable_to_verify,TRUE,106018,6.02,0,Brooklyn,1,6.856744744313739e-4
historical,historical__321387263,2019-03-27,2023-12-29,139,1,139,485 VAN SINDEREN AVENUE,not_applicable_single_component,TRUE,25790,0,0.85,Brooklyn,0,0.0019255850766823157
historical,historical__321387290,2019-03-28,2023-12-29,136,1,136,2377 PACIFIC STREET,not_applicable_single_component,TRUE,22300,2.43,0.54,Brooklyn,0,0.0014391425024463296
historical,historical__321387352,2019-04-01,2023-12-29,121,1,121,200 MONTAGUE STREET,not_applicable_single_component,TRUE,10000,10,4.6,Brooklyn,0,0.0016567084178098605
historical,historical__321387450,2019-04-03,2023-12-29,236,1,236,1911 ATLANTIC AVENUE,not_applicable_single_component,TRUE,1550,4.2,1.37,Brooklyn,0,0.002194162542002465
historical,historical__321387478,2019-04-08,2023-12-29,264,1,264,545 VANDERBILT AVENUE,not_applicable_single_component,TRUE,10520,4,0.28,Brooklyn,0,0.0013145637848675123
historical,historical__321387575,2019-04-11,2023-12-29,70,1,70,1510 GATES AVENUE,not_applicable_single_component,TRUE,12500,2.43,0.79,Brooklyn,0,0.0016645818792534264
historical,historical__321387913,2019-05-02,2023-12-29,52,1,52,1 SULLIVAN PLACE,not_applicable_single_component,TRUE,3057,6,0,Brooklyn,0,0.0012393909987005478
historical,historical__321570769,2020-04-23,2023-12-29,81,1,81,150 NOLL STREET,not_applicable_single_component,TRUE,2500,2.43,0,Brooklyn,0,0.0018620910800895957
historical,historical__321588705,2020-02-12,2023-12-29,120,1,120,126 SANDFORD STREET,not_applicable_single_component,TRUE,1500,4.2,1,Brooklyn,0,0.002051113330301244
historical,historical__321588714,2020-02-13,2023-12-29,50,1,50,219 LENOX ROAD,not_applicable_single_component,TRUE,10000,3.44,0.35,Brooklyn,0,0.001425227100399559
historical,historical__321589125,2020-03-04,2023-12-29,57,1,57,1038 BROADWAY,not_applicable_single_component,TRUE,8102,4,0.43,Brooklyn,0,0.0014140964908291253
historical,historical__321589134,2020-03-04,2023-12-29,376,1,376,2938 WEST 16 STREET,not_applicable_single_component,TRUE,47643,5,0,Brooklyn,0,8.714903306456787e-4
historical,historical__321589704,2020-04-03,2023-12-29,374,1,374,35 COMMERCIAL STREET,not_applicable_single_component,TRUE,44599,2.43,0,Brooklyn,0,0.0011530350062500317
historical,historical__321589713,2020-04-03,2023-12-29,121,1,121,491 HERKIMER STREET,not_applicable_single_component,TRUE,1667,3,0,Brooklyn,0,0.0018765951677207756
historical,historical__321589722,2020-04-03,2023-12-29,57,1,57,171 NORTH 1 STREET,not_applicable_single_component,TRUE,13867,3,1,Brooklyn,0,0.0016064333295216224
historical,historical__321589884,2020-04-07,2023-12-29,58,1,58,68 GOLD STREET,not_applicable_single_component,TRUE,19991,2,0,Brooklyn,0,0.0013783369065937937
historical,historical__321590113,2020-04-20,2023-12-29,569,1,569,180 ASHLAND PLACE,not_applicable_single_component,TRUE,16600,10,3.73,Brooklyn,0,0.001282972558464068
historical,historical__321590293,2020-04-28,2023-12-29,71,1,71,282 HINSDALE STREET,not_applicable_single_component,TRUE,95000,3,1.3,Brooklyn,0,0.0012373825695726952
historical,historical__321590328,2020-04-29,2023-12-29,175,1,175,1010 PACIFIC STREET,not_applicable_single_component,TRUE,23119,4,1,Brooklyn,0,0.00132887913337285
historical,historical__321590346,2020-04-29,2023-12-29,143,1,143,130 HOPE STREET,not_applicable_single_component,TRUE,20000,3,0,Brooklyn,0,0.001241284754114843
historical,historical__321590382,2020-05-01,2023-12-29,62,1,62,402 MOTHER GASTON BOULEVARD,not_applicable_single_component,TRUE,7500,2.43,0,Brooklyn,0,0.0015510843499261565
historical,historical__321590532,2020-05-05,2023-12-29,682,1,682,698 ATLANTIC AVENUE,not_applicable_single_component,TRUE,122384,0,0,Brooklyn,0,0.0012570862426775071
historical,historical__321592157,2020-06-18,2023-12-29,233,1,233,1108 MYRTLE AVENUE,not_applicable_single_component,TRUE,5000,4,0.5,Brooklyn,0,0.0015535869341602169
historical,historical__321592200,2020-06-25,2023-12-29,229,1,229,111 WILLOUGHBY STREET,not_applicable_single_component,TRUE,3760,10,1.28,Brooklyn,0,0.001013758135272219
historical,historical__321592308,2020-07-01,2023-12-29,80,1,80,33 FRANKLIN STREET,not_applicable_single_component,TRUE,18537,2,1,Brooklyn,0,0.0016995953664565551
historical,historical__321592344,2020-07-06,2023-12-29,171,1,171,1634 FLATBUSH AVENUE,not_applicable_single_component,TRUE,17985,6.02,0.06,Brooklyn,0,9.319911399106414e-4
historical,historical__321592576,2020-07-24,2023-12-29,50,1,50,21 GARDEN STREET,not_applicable_single_component,TRUE,7800,3,1.39,Brooklyn,0,0.0019089224851254658
historical,historical__321592709,2020-08-07,2023-12-29,55,1,55,1042 PRESIDENT STREET,not_applicable_single_component,TRUE,3917,2.43,0,Brooklyn,0,0.0017280722328509679
historical,historical__321592718,2020-08-11,2023-12-29,123,1,123,402 METROPOLITAN AVENUE,not_applicable_single_component,TRUE,17586,3,0.19,Brooklyn,0,0.0013164835436254637
